review,label
"Barangnya bagus sekali dan dikemas dengan rapi",positif
"Sangat memuaskan, pengiriman cepat dan tepat",positif
"Kualitas produk sesuai dengan deskripsi",positif
"Harga terjangkau dan kualitas mantap",positif
"Saya sangat senang belanja di toko ini",positif
"Pelayanan cepat, sangat direkomendasikan",positif
"Toko responsif dan pengiriman cepat",positif
"Barang sesuai pesanan dan tidak cacat",positif
"Produk berkualitas tinggi dan terpercaya",positif
"Semua berjalan dengan lancar dan memuaskan",positif
"Barang sampai dengan aman dan tepat waktu",positif
"Suka banget sama kualitas produknya",positif
"Produk premium dengan harga terjangkau",positif
"Penjual ramah dan pengiriman cepat",positif
"Terima kasih, produknya bagus sekali",positif
"Barang diterima dengan baik dan sesuai harapan",positif
"Kemasan rapi dan produk original",positif
"Produk sesuai gambar dan deskripsi",positif
"Barang bagus, akan order lagi nanti",positif
"Sudah dua kali beli dan tetap memuaskan",positif

"Barang rusak dan tidak sesuai deskripsi",negatif
"Pengiriman sangat lama, tidak puas",negatif
"Kualitas buruk dan tidak layak pakai",negatif
"Produk cacat dan sangat mengecewakan",negatif
"Tidak sesuai foto, warnanya berbeda",negatif
"Saya kecewa, barang tidak seperti yang dijanjikan",negatif
"Respon penjual sangat lambat",negatif
"Barang datang lecet dan kotor",negatif
"Tidak worth it sama sekali",negatif
"Produknya sangat mengecewakan",negatif
"Sudah dibayar tapi barang belum dikirim",negatif
"Salah kirim barang, tolong lebih hati-hati",negatif
"Pelayanan buruk dan tidak ramah",negatif
"Produk tidak bekerja sesuai fungsi",negatif
"Kemasan rusak dan barang tidak utuh",negatif
"Harga mahal tapi kualitas rendah",negatif
"Tidak akan beli lagi di sini",negatif
"Barang datang telat dan tidak lengkap",negatif
"Sangat tidak direkomendasikan",negatif
"Sudah komplain tapi tidak ditanggapi",negatif

"Barang sesuai, tapi tidak terlalu istimewa",netral
"Produk biasa saja, tidak buruk tidak juga bagus",netral
"Lumayan oke, sesuai harga",netral
"Kualitas standar, sesuai ekspektasi",netral
"Tidak ada yang spesial, tapi bisa dipakai",netral
"Produk sesuai, tapi kemasan biasa saja",netral
"Netral saja, tidak terlalu puas",netral
"Barang datang tepat waktu",netral
"Harga normal, kualitas juga standar",netral
"Tidak terlalu kecewa, tapi juga tidak senang",netral
"Produk oke, tapi tidak seperti ekspektasi",netral
"Netral, pengiriman agak lama tapi barang oke",netral
"Kemasan aman, produk tidak rusak",netral
"Produk sesuai harga",netral
"Barang lumayan bagus, sesuai deskripsi",netral
"Pengalaman belanja biasa saja",netral
"Tidak terlalu buruk",netral
"Produk oke, tapi tidak akan beli lagi",netral
"Barang datang pas, tapi agak kotor",netral
"Cocok untuk harga segitu",netral
